NEWS_HEADINGS,NEWS_AUTHOR,NEWS_PARAGRAPH,PUBLISHED_DATE,URLS,images
"AN INVESTOR’S GUIDE TO THE CONSTRUCTION BOOM
",16,Who will benefit from the recently-announced tax amnesty for the construction sector? ,"May 25, 2020",https://i.dawn.com/medium/2020/05/5ec9c21827952.jpg?r=2006305109,
"HEALTH: THE ANTIBODIES AND I
",Shazia Hasan,Could antibodies testing for Covid-19 help Pakistan conduct mass testing and allow smart-lockdowns to be put in place...,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec8626d3bb49.jpg,
"WHAT DOES OUR SEROPREVALENCE STUDY TELL US?
",Dr Wajiha Javed,An epidemiologist who oversaw Getz Pharma’s antibodies testing explains what their findings mean and how they...,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec86260f2cbf.jpg,
"HOCKEY: THE ROUGH END OF THE STICK
",Ijaz Chaudhry,"Former coach Roelant Oltmans has served Pakistan hockey enough to know what its strengths and shortcomings are. In an exclusive interview with Eos, he bares his heart...","May 24, 2020",https://i.dawn.com/medium/2020/05/5ec8603e16a7b.jpg,
"PARENTING: CHILDREN OF THE PANDEMIC
",Zofishan Umair,"Children are dealing with a lot of change, stress, and isolation as a result of the pandemic. ","May 26, 2020",https://i.dawn.com/medium/2020/05/5ec8602c28d6d.jpg,
"EXHIBITION: MOVING PAINTINGS
",Zohreen Murtaza,"Laced with devotion to the healing qualities of nature, Fauzia Minallah’s artworks also carry meaningful messages...","May 24, 2020",https://i.dawn.com/medium/2020/05/5ec85e28862b7.jpg,
"ARTSPEAK: HIDDEN INFLUENCERS
",Durriya Kazi,Socialising the young to uphold collective values and behaviour was once the responsibility of a family or a tribe....,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec85e038a3e6.jpg,
"SMOKERS’ CORNER: THE AGE OF JUDICIAL POPULISM
",Nadeem F. Paracha,"Instead of aiding the judiciary to come to a middle-ground, judicial activism has broken away and sprinted towards populism.","May 25, 2020",https://i.dawn.com/medium/2020/05/5ec85d8f27eb8.jpg,
"EPICURIOUS: COOKING FOR THE QUARANTINE
",Irfan Husain,Try these simple and easy-to-cook dishes to beat the blues of social isolation...,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec82035c2a91.jpg,
"ADVICE: AUNTIE AGNI
",From InpaperMagazine,‘I’ m married. How can I still study for my exams?’...,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec82003e4cb4.jpg,
"GARDENING: ‘CAN I GROW A FIG TREE FROM FIGS?’
",Zahrah Nasir,All your gardening queries answered here...,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec81f96d1e8f.jpg,
"ANIMALS AND THE CITY
",Jawziya F. Zaman,"The pain of animals is a fact of this city, like concrete. And smog. And traffic.","May 24, 2020",https://i.dawn.com/medium/2020/05/5ec07b67e16b2.jpg?r=226895865,
"SOCIETY: THE FUTURE OF A CRISIS
",Nadeem Hussain,"Now is the time to consider a more holistic strategy to respond to and manage disasters, keeping in mind the...","May 17, 2020",https://i.dawn.com/medium/2020/05/5ec06059c25da.jpg?r=2033044652,
"CHESS: THE WRATH OF KHAN
",Ather Sultan,"In a country obsessed with cricket, not many sports buffs know about a countryman who achieved exceptional...","May 17, 2020",https://i.dawn.com/medium/2020/05/5ebf2858b1783.jpg,
"HEALTH: PREGNANT IN THE PANDEMIC?
",Mehreen Chawla,Pregancies can be a time of stress for expectant mothers. The pandemic and its resultant lockdowns have added...,"May 17, 2020",https://i.dawn.com/medium/2020/05/5ebf28436defc.jpg,
"DISCOURSE: CARTOGRAPHY AND ART
",Zohreen Murtaza,Some contemporary artists use maps to highlight issues of identity and belonging...,"May 17, 2020",https://i.dawn.com/medium/2020/05/5ebf2623df8da.jpg,
"EDUCATION: RESIDENCIES CUT SHORT
",Jovita Alvares,Covid-19 has forced art graduates or students to lose out on some opportunities to further their art practices...,"May 17, 2020",https://i.dawn.com/medium/2020/05/5ebf26125febf.jpg,
"NON-FICTION: SENSE AND SENSIBILITY
",Nyla Daud,A sociologist looks at the common problems faced by women in Pakistani society and shines a light...,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec826f485430.jpg,
"COLUMN: THE DECAY OF LANGUAGE
",Harris Khalique,Prof Navid Shahzad has recently recalled in one of her writings what George Orwell said soon after the Second World...,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec82419d4b4a.jpg,
"NON-FICTION: FANTASTIC VOYAGE
",Sameen Amer,"An award-winning author writes an accessible and entertaining book, chock-full of facts and historical...","May 24, 2020",https://i.dawn.com/medium/2020/05/5ec827168e89a.jpg,
"NON-FICTION: MORE THAN FIGURES
",Dr Masooma M. Shakir,"An important contribution to Pakistan’s cultural history, a new book is more than a simple documentation of historic architecture","May 24, 2020",https://i.dawn.com/medium/2020/05/5ec82431e389c.jpg,
"FICTION: PEOPLE LIVING IN GLASS HOTELS...
",Mahvesh Murad,"A Ponzi scheme and the existential anxieties of rudderless, privileged North Americans, propel...","May 17, 2020",https://i.dawn.com/medium/2020/05/5ebef88e38c9c.jpg,
"COLUMN: THE 'RESTLESS HEART'
",Mehr Afshan Farooqi,"In this grim atmosphere of a worldwide pandemic and the numbing effect of lockdowns, reading Mirza Asadullah Khan...","May 19, 2020",https://i.dawn.com/medium/2020/05/5ebeec9b08421.jpg,
"NON-FICTION: THE BATTLE OVER SUFISM
",Salman Altaf,Nadeem F. Paracha attempts to trace the evolution of Sufism in Pakistan and how its appeal has often been used by...,"May 17, 2020",https://i.dawn.com/medium/2020/05/5ebef8ae8bff7.jpg,
"NON-FICTION: THE QUARANTINE OF THE HAZARAS
",Muhammad Akbar Notezai,A book looks at the plight of Quetta’s Hazara community through untold and seemingly incomplete stories,"May 17, 2020",https://i.dawn.com/medium/2020/05/5ebeed3498517.jpg,
"SPOTLIGHT: HOW TO WRITE YOUR FILM
",Mohammad Kamran Jawaid,Screenwriting for film is not easy. But there are some basic rules that can help Pakistani filmmakers fix the most common,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec9bdff68b8a.jpg,
"CINEMASCOPE: CRIME AND PUNISHMENT
",Noman Ansari,Director Josh Trank’s Capone is a rudderless and unevenly-paced film that’s disappointing to watch,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec9bc3653ab1.jpg,
"THE GRAPEVINE
",PYT,We will not comment on the Turkish drama series Diriliş: Ertuğrul because there has already been too much brouhaha about it.,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec9bbaf52e56.jpg,
"STREAMING: SERIALS TO BINGE ON THIS EID
",Maliha Diwan,"Finding little reason to head out this Eidul Fitr as the lockdown see-saws between easing and becoming stricter, while politicians bicker amongst","May 24, 2020",https://i.dawn.com/medium/2020/05/5ec9b82b7b4f9.jpg,
"THE TUBE
",Fouzia Nasir Ahmad,After finding out that wife Narmeen (Zoya Nasir) had conspired with husband Sultan’s (Danish Taimoor) manager to defame him,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec9b728df334.jpg,
"THE ICON INTERVIEW: ‘I DON’T KNOW WHY ACTORS ARE SO POLITICALLY CORRECT’
",Maliha Rehman,Zahid Ahmed has come a long way from a career in telecommunications to acting in theatre as a hobby. But the in-demand actor is also out,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec9b4979a16c.jpg,
"STYLE: THE EID OF SHOPPING RESPONSIBLY
",Maliha Rehman,"Fashion is hardly a consideration at a time when people are enduring tragedies and living in fear, trying to sidestep an all-encompassing pandemic","May 24, 2020",https://i.dawn.com/medium/2020/05/5ec9b3a238197.jpg,
"THE ICON INTERVIEW: THE FEARLESS AND THE RESTLESS
",Maliha Rehman,"Saba Qamar is constantly on-the-go. Even under lockdown, she simply cannot sit still, thinking up new projects from her","May 17, 2020",https://i.dawn.com/medium/2020/05/5ec05d47b0de5.jpg,
"SOUNDCHECK: STARRY STARRY NIGHT
",BandBaji,One of the best things to come out of this lockdown is Peshawar-based band Yasir and Jawad’s campfire musical ode to the,"May 17, 2020",https://i.dawn.com/medium/2020/05/5ec05bbb2e568.jpg,
"THE GRAPEVINE
",PYT,"It may have been a comment delivered in a lighter vein just to please his fans, but it seems that some are taking Noman","May 17, 2020",https://i.dawn.com/medium/2020/05/5ec05b41782ac.jpg,
"CINEMASCOPE: FALL FROM GRACE
",Noman Ansari,Bad Education is a terrific watch even though its plot initially sounds like it may not be grounds for a great film,"May 17, 2020",https://i.dawn.com/medium/2020/05/5ec056cc7fc6c.jpg,
"WIDE ANGLE: AOI MIZUHARA’S HOLLYWOOD DEBUT
",Kaori Shoji,"Actress Aoi Mizuhara explores Asian family values in The Farewell, another step closer to international stardom","May 17, 2020",https://i.dawn.com/medium/2020/05/5ec054ba6059a.jpg,
"THE TUBE
",Fouzia Nasir Ahmad,"After getting married to her brother-in-law Hatim (Hammad Farooqi), the cunning Shamila (Nazish Jahangir) drops her","May 17, 2020",https://i.dawn.com/medium/2020/05/5ec0534e00464.jpg,
"SPOTLIGHT: HASEENA IN LOCKDOWN
",Asif Noorani,"Eminent playwright Haseena Moin is presently in the process of penning her memoirs, taking advantage of being locked","May 17, 2020",https://i.dawn.com/medium/2020/05/5ec05115a1154.jpg,
"STREAMING: NO TROUBLE IN TINSEL TOWN
",Mohammad Kamran Jawaid,"The Netflix series Hollywood is beautiful to look at and well cast, but its attempts to present a peachy picture of all","May 17, 2020",https://i.dawn.com/medium/2020/05/5ebfc007ae076.jpg,
"IN MEMORIAM: THE EVERYMAN ACTOR
",From InpaperMagazine,"Best known as the sheriff who jailed Rambo, Brian Dennehy did a series of odd jobs before he pursued acting, which he","May 17, 2020",https://i.dawn.com/medium/2020/04/5ea4c8f0a6042.jpg,
"Different, but definitely Eid
",Ambreen Arshad,The moment I read this quote: “Happiness is letting go of what you think your life is supposed...,"May 23, 2020",https://i.dawn.com/medium/2020/05/5ec840ad59ab9.jpg,
"Mailbox
",From InpaperMagazine,Pakistan Resolution,"May 23, 2020",https://i.dawn.com/medium/2020/05/5ec83ff1e348a.jpg,
"Poet's Corner
",From InpaperMagazine,"Published in Dawn, Young World, May 23rd, 2020","May 23, 2020",https://i.dawn.com/medium/2020/05/5ec8402611c52.jpg,
"Opinion: Alone at the  other edge
",Naad-e-Ali Khan,"This pandemic is scary for everyone, but more so for the family of a doctor, writes a doctor’s son","May 23, 2020",https://i.dawn.com/medium/2020/05/5ec83f56d93a1.jpg,
"Reality bites: A lockdown haircut
",Hana Marfani,"Due to the lockdown in Karachi, all the shops are closed. ","May 23, 2020",https://i.dawn.com/medium/2020/05/5ec83e8656039.jpg,
"Book review: Insightful Atlas’ World Pocket Atlas
",Omair Alavi,"In a world of people locked down with Covid-19, be the smart one out. ","May 23, 2020",https://i.dawn.com/medium/2020/05/5ec83df34fa71.jpg,
"Cook-it-yourself: Coffee and cookies ice cream
",Aamnah Arshad,This lockdown has made many of us food-obsessed in different ways. ,"May 23, 2020",https://i.dawn.com/medium/2020/05/5ec83d3103288.jpg,
"Viewpoint: A fairy tale Eid
",Maverick,Sometimes  I wish that a part of my life was like the Cinderella story.,"May 23, 2020",https://i.dawn.com/medium/2020/05/5ec83c8b6bf00.jpg,
,,,,,"[{'url': 'https://i.dawn.com/medium/2020/05/5ec9c21827952.jpg?r=2006305109', 'path': 'full/f2a5a49f2dc292a333d44d3ce1cc4257c3bb0e89.jpg', 'checksum': '7b598a92923e7ab46b8d1a527f30a635'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec8626d3bb49.jpg', 'path': 'full/aa1a3b29432c391cb154bf9214a735d7714e3d39.jpg', 'checksum': '47e6c8f5bdbc3570891b188e763694ac'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec86260f2cbf.jpg', 'path': 'full/983e9d2b7f15b63ffdc7090279fc90bf989c6493.jpg', 'checksum': '875cbb0202d9f4a049ef4015d0f4cb3c'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec8603e16a7b.jpg', 'path': 'full/96aab32536b6c5b9578e29308c4aab6b2139082b.jpg', 'checksum': '91a7db425bccde29f48277fff67fd7ad'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec8602c28d6d.jpg', 'path': 'full/181557cb47f322ba27d7ca6b31deaa81362f0f93.jpg', 'checksum': 'a3cdb341e6fbdd32de4f896cd34db01f'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec85e28862b7.jpg', 'path': 'full/d6d9cce54c96856c4addc7881d857beeaa594677.jpg', 'checksum': 'b93e7403a7ee828a5607bfea4bb10807'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec85e038a3e6.jpg', 'path': 'full/91cee2bb4359ee3c5133b9ae6d868fb294fe4987.jpg', 'checksum': 'bcdcf0631f74d2e46933928af5d60c5b'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec85d8f27eb8.jpg', 'path': 'full/c2d01701c3b8e04e61309ec426124ec2419cc1fa.jpg', 'checksum': 'de1f7e08ca22c465567d6b22029b2873'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec82035c2a91.jpg', 'path': 'full/95b871ed7510d4db8348054d76a5c5961c52df6c.jpg', 'checksum': '0199773196f322c2a84f5e5546e21c76'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec82003e4cb4.jpg', 'path': 'full/5e389868bfac411662c70e15d6e4dc1208e18237.jpg', 'checksum': 'a4f9d5609bfdbee13fc3f88afb91e5d2'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec81f96d1e8f.jpg', 'path': 'full/dc6abb4cc2f4b2f1eb7a19c8639dae0f1513aff1.jpg', 'checksum': 'f3070e33ec2e4b7a800c0475a7b6273c'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec07b67e16b2.jpg?r=226895865', 'path': 'full/f6f75aa00928947bf7852b4d591435557f00f23a.jpg', 'checksum': '13b376ee05649e82086869582bcf7f0a'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec06059c25da.jpg?r=2033044652', 'path': 'full/9251e54f285075a29bc16f9f2ea0473ff6bacb9a.jpg', 'checksum': 'a46d8eb52184f2ae5e33cf5dfbae25f5'}, {'url': 'https://i.dawn.com/medium/2020/05/5ebf2858b1783.jpg', 'path': 'full/3136f4879cf704052ce3b1fb6bbe0d538e1f7ec6.jpg', 'checksum': '97a981962197b1ec4df3d9ce0a28f380'}, {'url': 'https://i.dawn.com/medium/2020/05/5ebf28436defc.jpg', 'path': 'full/69d8d611e460780d7b2a816a83fa9a23f951b24d.jpg', 'checksum': '3558580869ec0c23f662504218bf11ad'}, {'url': 'https://i.dawn.com/medium/2020/05/5ebf2623df8da.jpg', 'path': 'full/846e59d6b35f733ce6d6c0b6fa4b9b542a48afc5.jpg', 'checksum': 'b7f91ab6816946b1d1c544789007bd92'}, {'url': 'https://i.dawn.com/medium/2020/05/5ebf26125febf.jpg', 'path': 'full/71c8c4f2949438be0cdb4f94e33973a84427a48a.jpg', 'checksum': '460ffcc20fc620c6283f8ec86868b1ef'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec826f485430.jpg', 'path': 'full/23fb56db9fe26b2467c9911e32d1166f865fc8c2.jpg', 'checksum': '68c5bccfdab8f45aef78341a79a38d59'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec82419d4b4a.jpg', 'path': 'full/e55dc0ed1c89c43a33785f9865ebd217e6efac3e.jpg', 'checksum': '34a0bb6c9f1eec0619872839601031d6'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec827168e89a.jpg', 'path': 'full/f6480f3e39668dc417e7a7bcbd4bc3f1259e8945.jpg', 'checksum': 'ba9751d80916973dba5a8ca05dc698d9'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec82431e389c.jpg', 'path': 'full/65362b0b3e171fe483927432b01fa443ca516fea.jpg', 'checksum': '2778aa47be5235161f920ee673b6315d'}, {'url': 'https://i.dawn.com/medium/2020/05/5ebef88e38c9c.jpg', 'path': 'full/4ea9f797d9cce022a3495f4d39ae32abf96410ec.jpg', 'checksum': '44685a05577a8ba4843deaafc4f1148b'}, {'url': 'https://i.dawn.com/medium/2020/05/5ebeec9b08421.jpg', 'path': 'full/b2b676fffeaaf68061a9b2c50ff77d64b5e26867.jpg', 'checksum': 'c79071342526a9b7cf614177800f8cbf'}, {'url': 'https://i.dawn.com/medium/2020/05/5ebef8ae8bff7.jpg', 'path': 'full/9cf681e1cf5c992b5832cb0273280c3a89ac0f30.jpg', 'checksum': '08c027e52f0228a692999a9cbc9089df'}, {'url': 'https://i.dawn.com/medium/2020/05/5ebeed3498517.jpg', 'path': 'full/761e4644b4a9e76ba40571390e71a376b1c43349.jpg', 'checksum': '3c9dc35f6d602a9aa360a2b7e5d7c06d'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec9bdff68b8a.jpg', 'path': 'full/e1f4949ab3269d39f3c2cc94ab03411a1b073c7b.jpg', 'checksum': '1f751fb2f01bce67dca93b1ea3b80816'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec9bc3653ab1.jpg', 'path': 'full/871a0d4ffec61f9c1eb102db44665e91f920d92b.jpg', 'checksum': '92e6359dae29545e0e6136461beedeeb'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec9bbaf52e56.jpg', 'path': 'full/c2a15e6694a917764e93f591ce7f090e9f1eb481.jpg', 'checksum': 'e17a9418505a7112cd34a13c11723b53'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec9b82b7b4f9.jpg', 'path': 'full/f8f7ebc3565e34277a8dd8e4b56ec04ed2047327.jpg', 'checksum': 'cbc403f1077b6e258b707796c48855a9'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec9b728df334.jpg', 'path': 'full/c42c096cf12e804ed9148439ab84e3d2f985ecf4.jpg', 'checksum': '2e90f21db2ce84b91a6ae0e89ada03ea'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec9b4979a16c.jpg', 'path': 'full/dfea9a03d8ff03f60ac6c61328892536e4d41c2b.jpg', 'checksum': '3a99f2937eba0ca5dbd8db0652ea17ff'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec9b3a238197.jpg', 'path': 'full/76831240c652c5fc31636639f82beb2592df0b62.jpg', 'checksum': 'ebd01366fcc84ed68eeada86b55fad7f'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec05d47b0de5.jpg', 'path': 'full/cfc90a7ba44fab0e1faef8328965ce68d142ff1e.jpg', 'checksum': '93fe5087a340fcc7efde089fd1081646'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec05bbb2e568.jpg', 'path': 'full/593753e9b5bd0c81a1bfbf06a4d2e01720935923.jpg', 'checksum': 'f306cedb32b942ffaf597aa31a8d04ad'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec05b41782ac.jpg', 'path': 'full/869cad290d86a9e9126ff0bb14d311dff3ddcbb1.jpg', 'checksum': '09c617d807e6758bc2bc20e9498ab2d4'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec056cc7fc6c.jpg', 'path': 'full/38c8f137d33225dd2e3d771c943f0b0d3a866a33.jpg', 'checksum': '8152d9699731e4104e901b82f5ca3487'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec054ba6059a.jpg', 'path': 'full/c8048edd177164a5916b9bb9800f42dffff751d5.jpg', 'checksum': '65a2060e8bf7a2fd525a75e9b24a5be2'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec0534e00464.jpg', 'path': 'full/1a957e8dc0c6c75e8517f3751be32e8a68843fbb.jpg', 'checksum': '927ba0a4e94070641d7298433934f5de'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec05115a1154.jpg', 'path': 'full/9194d1f79be54727dcfb192e4a2fbc995bd3fee1.jpg', 'checksum': 'b3c671e8034b043f7001a98a9402af39'}, {'url': 'https://i.dawn.com/medium/2020/05/5ebfc007ae076.jpg', 'path': 'full/bf932cd2704991841dc7fa4a6c265f27fefd0707.jpg', 'checksum': '319aa6ce226403ff5d94f84e4b1fe208'}, {'url': 'https://i.dawn.com/medium/2020/04/5ea4c8f0a6042.jpg', 'path': 'full/94ff6eb4e6a45eddb51be0a034cdf94b70040f16.jpg', 'checksum': '614a147d2b9c74276dfed67add22cb8b'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec840ad59ab9.jpg', 'path': 'full/f300642561bbda751e0e584d78c7a2ca135fd673.jpg', 'checksum': '32c03262ed5918fb648092d4d88dd337'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec83ff1e348a.jpg', 'path': 'full/027352764ae55463a239e8e82488d86ab33ddea0.jpg', 'checksum': '1bd3ca6ba1551a3d5618f61633c9494d'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec8402611c52.jpg', 'path': 'full/def362a503430898f30bffb7a23b761007379d7a.jpg', 'checksum': '257ac388260de5988369b5148958fced'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec83f56d93a1.jpg', 'path': 'full/52f205224af67d9f7277dabca3313ed0672965d2.jpg', 'checksum': '65900ae012da7ca614747b0d6d87a17a'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec83e8656039.jpg', 'path': 'full/382b8fa79b3dc1b5517f96841491bca221cb1001.jpg', 'checksum': '70d4f02ec469ef51b4d2685622dde53c'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec83df34fa71.jpg', 'path': 'full/7de24aef42fb73b43881b350604b21dee6949ac2.jpg', 'checksum': 'b5e926730ca976fdbaf45452f7c03061'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec83d3103288.jpg', 'path': 'full/5ef5379d2502835663e9005488d7be136e72477d.jpg', 'checksum': 'dd555318888ad25685dd8292a5999fa9'}, {'url': 'https://i.dawn.com/medium/2020/05/5ec83c8b6bf00.jpg', 'path': 'full/fb5c6fbc1bb5332d7f54cac9d0aa06efa8f14ef8.jpg', 'checksum': '31fd738fc551dbee5676c47e622651fb'}]"
